XP1,Sample,Prevotella disiens
XP2,Sample,Prevotella disiens
XP3,Sample,Prevotella disiens
XP4,Sample,Prevotella disiens
XP5,Sample,Prevotella disiens
XP6,Sample,Prevotella disiens
XP7,Sample,Prevotella disiens
XP8,Sample,Prevotella disiens
XP9,Sample,Prevotella disiens
XP10,Sample,Prevotella disiens
XP11,Sample,Prevotella disiens
XP12,Sample,Prevotella disiens
TP1,Sample,Prevotella disiens
TP2,Sample,Prevotella disiens
TP3,Sample,Prevotella disiens
TP4,Sample,Prevotella disiens
TP5,Sample,Prevotella disiens
TP6,Sample,Prevotella disiens
TP7,Sample,Prevotella disiens
TP8,Sample,Prevotella disiens
TP9,Sample,Prevotella disiens
TP10,Sample,Prevotella disiens
TP11,Sample,Prevotella disiens
TP12,Sample,Prevotella disiens
TP13,Sample,Prevotella disiens
TP14,Sample,Prevotella disiens
TP15,Sample,Prevotella disiens
TP16,Sample,Prevotella disiens
TP17,Sample,Prevotella disiens
TP18,Sample,Prevotella disiens
PD,Reference,Prevotella disiens Original
VM,Reference,Veillonella montpellierensis Original
